,College,percent of students first-generation,percent of students in-state,percent of students international,percent of students registered with disabilities,percent of students male,percent of students female,percent of students American Indian or Alaskan native,percent Asian,percent Black,percent Hispanic/Latino,percent Native Hawaiian/Pac Islander,percent Two or more races,percent Unknown,percent White
159,University of Kentucky,23.0,63,2,12.0,43,57,0,3,7,6,0,4,3,75
160,University of Louisville,30.0,77,1,4.0,45,55,0,5,13,6,0,6,0,68
161,University of Maryland-College Park,22.0,75,4,,52,48,0,19,12,10,0,5,4,47
162,University of Massachusetts-Amherst,22.0,80,7,9.0,49,51,0,11,5,8,0,3,4,61
163,University of Miami,20.0,37,13,5.0,47,53,0,5,9,24,0,3,4,42
164,University of Michigan-Ann Arbor,21.0,53,7,7.0,50,50,0,16,4,7,0,5,5,55
165,University of Minnesota-Twin Cities,19.0,74,6,10.0,46,54,0,11,6,5,0,4,7,61
166,University of Mississippi,24.0,43,1,6.0,42,58,0,2,12,4,0,2,0,77
167,University of Missouri-Columbia,20.0,72,1,7.0,46,54,0,3,7,5,0,4,1,78
168,University of New Hampshire-Main Campus,17.0,45,2,10.0,45,55,0,3,1,4,0,2,5,83
169,University of North Carolina at Chapel Hill,20.0,87,4,4.0,40,60,0,12,8,9,0,5,3,57
170,University of Notre Dame,10.0,7,6,8.0,52,48,0,5,3,11,0,6,1,68
171,University of Oklahoma-Norman Campus,28.0,55,3,4.0,49,51,3,7,5,11,0,9,1,60
172,University of Oregon,28.0,49,5,,45,55,1,7,3,14,0,9,2,60
173,University of Pennsylvania,19.0,19,12,12.0,45,55,0,23,8,10,0,5,3,38
174,University of Pittsburgh-Pittsburgh Campus,21.0,60,4,,45,55,0,11,5,5,0,4,1,69
175,University of Richmond,12.0,16,8,11.0,47,53,0,7,7,10,0,4,3,60
176,University of Rochester,19.0,39,26,,48,52,0,12,5,8,0,4,2,43
177,University of San Diego,25.0,60,7,12.0,43,57,0,7,3,22,0,7,3,49
178,University of South Carolina-Columbia,20.0,59,3,8.0,46,54,0,4,9,5,0,4,1,74
179,University of South Florida-Main Campus,36.0,89,6,,43,57,0,7,9,22,0,4,4,48
180,University of Southern California,25.0,50,12,,48,52,0,23,5,16,0,6,2,35
181,University of Vermont,12.0,23,3,18.0,39,61,0,3,1,5,0,3,3,82
182,University of Virginia-Main Campus,16.0,70,4,10.0,44,56,0,16,7,7,0,5,5,56
183,University of Washington-Seattle Campus,33.0,75,15,6.0,45,55,0,26,3,9,0,8,4,35
184,University of Wisconsin-Madison,17.0,56,9,7.0,48,52,0,8,2,6,0,4,3,68
185,Vanderbilt University,12.0,10,9,15.0,49,51,0,16,11,10,0,6,5,42
186,Vassar College,14.0,30,9,20.0,38,62,0,11,4,8,0,9,1,58
187,Villanova University,13.0,17,2,9.0,47,53,0,6,5,9,0,3,1,72
188,Virginia Polytechnic Institute and State University,18.0,74,6,8.0,57,43,0,11,5,8,0,5,3,63
189,Wake Forest University,12.0,18,9,10.0,46,54,0,4,6,8,0,4,0,69
190,Washington and Lee University,,14,4,,49,51,0,4,3,6,0,4,1,77
191,Washington University in St Louis,11.0,12,7,12.0,47,53,0,18,9,10,0,5,2,48
192,Wellesley College,17.0,13,13,19.0,0,100,0,23,7,14,0,6,1,35
193,Wesleyan University,20.0,9,11,19.0,42,58,0,8,6,12,0,7,2,55
194,William & Mary,13.0,69,5,14.0,41,59,0,9,7,9,0,6,5,59
195,Williams College,22.0,16,8,14.0,50,50,0,14,7,13,0,6,6,46
196,Wofford College,,59,2,10.0,47,53,0,2,8,5,0,3,0,81
197,Worcester Polytechnic Institute,13.0,50,7,14.0,60,40,0,8,3,9,0,3,7,63
198,Yale University,25.0,8,10,16.0,50,50,0,24,9,15,0,6,0,35
